TRINITY_DN9_c0_g1_i1	sp|C4L937|SYS_TOLAT	40.000	25	15	0	124	198	176	200	4.1	28.9
TRINITY_DN14_c0_g1_i1	sp|O73556|POLG_HPE2W	27.632	76	45	3	265	44	87	154	9.4	28.5
TRINITY_DN7_c0_g1_i1	sp|C4NZN9|HYAST_HYAAR	51.579	95	21	2	551	342	17	111	9.58e-17	76.6
TRINITY_DN7_c0_g1_i2	sp|C4NZN9|HYAST_HYAAR	56.311	103	20	3	238	2	12	113	2.88e-24	91.3
TRINITY_DN7_c0_g1_i3	sp|C4NZN9|HYAST_HYAAR	54.737	95	19	2	255	43	17	111	2.48e-20	82.4
TRINITY_DN11_c0_g1_i1	sp|P04829|ACT3_BOMMO	100.000	55	0	0	81	245	1	55	5.81e-34	122
TRINITY_DN10_c0_g1_i1	sp|Q80UC6|GPR62_MOUSE	39.130	46	27	1	183	46	92	136	3.4	28.9
TRINITY_DN13_c0_g1_i1	sp|P14963|EF1A_EUGGR	83.908	87	14	0	261	1	275	361	1.56e-47	159
TRINITY_DN12_c0_g1_i1	sp|P16895|IELA_ANESU	70.833	24	7	0	148	219	2	25	2.76e-04	38.1
TRINITY_DN8_c0_g1_i1	sp|Q92193|ACT_CRAVI	97.030	101	3	0	304	2	62	162	2.06e-66	203
TRINITY_DN5_c0_g1_i1	sp|A4K2U0|WFDC5_CALJA	39.130	46	25	1	227	364	29	71	2.9	31.6
TRINITY_DN2_c0_g1_i1	sp|Q8WN22|PRKDC_CANLF	44.828	29	16	0	131	217	3319	3347	2.5	29.6
TRINITY_DN2_c0_g1_i2	sp|Q8WN22|PRKDC_CANLF	44.828	29	16	0	107	193	3319	3347	1.9	29.6
TRINITY_DN15_c0_g1_i1	sp|Q11212|ACT_SPOLI	96.203	79	3	0	237	1	62	140	1.01e-52	164
